"12/25/2021 20:38","3512B Center (4TN00222)","(Total Samples = 2000 - Sample Rate = 120 Per Minute)"
"Unit Descriptions","kPa","kPa","%","RPM","kPa","kPa","kPa","Deg C","Deg C"
"Sample #","Boost Pressure","Fuel Pressure","Throttle Position","Engine Speed","Right Turbo Inlet Pressure (abs)","Left Turbo Inlet Pressure (abs)","Crankcase Pressure","Right Exhaust Temperature","Left Exhaust Temperature"
78,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,285,Timed Out
79,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,285,Timed Out
80,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,299,Timed Out
81,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,280,Timed Out
82,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,280,Timed Out
83,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,290,Timed Out
84,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,290,Timed Out
85,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,299,Timed Out
86,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,299,Timed Out
87,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,304,Timed Out
88,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,290,Timed Out
89,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,290,Timed Out
90,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,285,Timed Out
91,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,285,Timed Out
92,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,285,Timed Out
93,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,299,Timed Out
94,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,299,Timed Out
95,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,276,Timed Out
96,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,276,Timed Out
97,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,304,Timed Out
