"12/25/2021 21:36","3512B Port (4TN00220)","(Total Samples = 2000 - Sample Rate = 120 Per Minute)"
"Unit Descriptions","kPa","kPa","%","RPM","kPa","kPa","kPa","Deg C","Deg C"
"Sample #","Boost Pressure","Fuel Pressure","Throttle Position","Engine Speed","Right Turbo Inlet Pressure (abs)","Left Turbo Inlet Pressure (abs)","Crankcase Pressure","Right Exhaust Temperature","Left Exhaust Temperature"
1,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
3,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
4,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
346,2,362,12,813,100.5,100.5,0.7,218,213
347,2,362,12,815,100.5,100.5,0.8,213,213
348,2,362,12,813,100.5,100.5,0.7,213,233
349,4,362,12,813,100.5,100.5,0.6,228,233
350,4,362,12,815,100.5,100.5,0.7,228,228
351,2,362,12,811,100.5,100.5,0.6,218,223
352,2,362,12,815,100.5,100.5,0.7,218,213
353,4,362,12,814,100.5,100.5,0.7,233,223
354,4,362,12,813,100.5,100.5,0.7,237,218
355,4,361,12,811,100.5,100.5,0.7,237,213
356,4,362,12,814,100.5,100.5,0.7,228,218
357,4,362,12,812,100.5,100.5,0.7,228,213
358,2,361,12,813,100.5,100.5,0.7,213,233
359,4,362,12,811,100.5,100.5,0.7,213,213
360,2,362,12,813,100.5,100.5,0.8,228,213
361,2,362,12,813,100.5,100.5,0.7,237,228
362,2,361,12,811,100.5,100.5,0.7,237,213
363,2,361,12,812,100.5,100.5,0.7,223,223
364,2,362,12,812,100.5,100.5,0.7,223,228
365,2,362,12,817,100.5,100.5,0.6,237,208
366,2,362,12,818,100.5,100.5,0.7,237,223
367,4,363,12,815,100.5,100.5,0.7,233,233
368,4,363,12,817,100.5,100.5,0.7,233,228
369,2,362,12,811,100.5,100.5,0.7,233,218
370,2,362,12,816,100.5,100.5,0.8,208,218
371,2,363,12,813,100.5,100.5,0.7,208,228
372,2,362,12,814,100.5,100.5,0.6,233,208
373,4,362,12,812,100.5,100.5,0.7,233,228
374,2,363,12,810,100.5,100.5,0.7,223,208
375,2,363,12,815,100.5,100.5,0.7,208,218
376,2,362,12,811,100.5,100.5,0.6,208,223
377,2,362,12,814,100.5,100.5,0.7,228,228
378,2,362,12,811,100.5,100.5,0.7,228,208
379,2,363,12,812,100.5,100.5,0.7,218,228
380,2,362,12,812,100.5,100.5,0.7,218,218
381,2,362,12,812,100.5,100.5,0.6,213,213
382,2,362,12,812,100.5,100.5,0.7,223,223
383,4,362,12,812,100.5,100.5,0.7,223,223
384,2,362,12,810,100.5,100.5,0.7,228,204
385,2,362,12,815,100.5,100.5,0.6,228,204
386,2,362,12,811,100.5,100.5,0.6,223,218
387,2,363,12,815,100.5,100.5,0.6,223,213
388,2,362,12,815,100.5,100.5,0.7,218,213
389,2,362,12,814,100.5,100.5,0.7,223,223
390,2,362,12,814,100.5,100.5,0.6,223,208
391,2,362,12,815,100.5,100.5,0.7,213,208
392,2,362,12,810,100.5,100.5,0.6,213,218
393,2,362,12,815,100.5,100.5,0.7,208,223
394,2,362,12,811,100.5,100.5,0.7,208,204
395,2,362,12,813,100.5,100.5,0.7,208,218
396,2,362,12,812,100.5,100.5,0.7,208,223
397,2,362,12,812,100.5,100.5,0.7,208,199
398,2,362,12,815,100.5,100.5,0.7,223,223
399,2,362,12,812,100.5,100.5,0.7,223,218
400,2,361,12,810,100.5,100.5,0.7,223,204
401,2,362,12,811,100.5,100.5,0.6,199,208
402,2,362,12,811,100.5,100.5,0.7,199,208
403,2,362,12,812,100.5,100.5,0.7,208,199
404,2,362,12,813,100.5,100.5,0.7,208,208
405,2,362,12,811,100.5,100.5,0.7,213,204
406,2,362,12,814,100.5,100.5,0.7,213,208
407,2,362,12,812,100.5,100.5,0.7,213,223
408,2,362,12,812,100.5,100.5,0.7,218,199
409,2,361,12,815,100.5,100.5,0.6,218,213
410,0,362,12,812,100.5,100.5,0.7,218,208
411,2,362,12,814,100.5,100.5,0.7,218,208
412,2,362,12,812,100.5,100.5,0.7,223,218
413,2,361,12,814,100.5,100.5,0.7,223,218
414,0,362,12,812,100.5,100.5,0.6,223,199
415,2,362,12,813,100.5,100.5,0.7,218,204
416,2,361,12,814,100.5,100.5,0.7,218,223
417,2,362,12,810,100.5,100.5,0.7,218,204
418,2,362,12,814,100.5,100.5,0.7,218,204
419,0,362,12,811,100.5,100.5,0.7,208,208
420,0,362,12,812,100.5,100.5,0.7,204,208
421,2,362,12,814,100.5,100.5,0.7,204,208
422,2,362,12,812,100.5,100.5,0.7,223,213
423,2,362,12,813,100.5,100.5,0.7,223,199
424,2,361,12,811,100.5,100.5,0.8,204,218
425,2,362,12,814,100.5,100.5,0.7,204,218
426,2,362,12,812,100.5,100.5,0.7,213,194
427,2,362,12,814,100.5,100.5,0.7,194,208
428,2,361,12,811,100.5,100.5,0.7,194,208
429,2,362,12,814,100.5,100.5,0.6,199,199
430,2,362,12,812,100.5,100.5,0.7,199,194
431,2,362,12,814,100.5,100.5,0.6,204,208
432,2,361,12,814,100.5,100.5,0.7,204,218
433,2,362,12,811,100.5,100.5,0.7,213,204
434,4,362,12,813,100.5,100.5,0.7,218,218
435,2,361,12,810,100.5,100.5,0.6,218,213
436,2,362,12,813,100.5,100.5,0.7,213,204
437,2,362,12,812,100.5,100.5,0.7,213,204
438,2,362,12,813,100.5,100.5,0.7,213,204
439,2,361,12,811,100.5,100.5,0.7,213,218
440,2,362,12,813,100.5,100.5,0.7,199,213
441,2,362,12,811,100.5,100.5,0.7,213,199
442,2,362,12,811,100.5,100.5,0.7,213,199
443,2,361,12,811,100.5,100.5,0.7,199,218
444,2,362,12,814,100.5,100.5,0.7,199,199
445,2,361,12,811,100.5,100.5,0.7,213,199
446,2,362,12,814,100.5,100.5,0.7,213,213
447,2,361,12,812,100.5,100.5,0.7,194,199
448,2,361,12,815,100.5,100.5,0.7,208,208
449,2,361,12,811,100.5,100.5,0.7,208,204
450,2,361,12,813,100.5,100.5,0.7,204,218
451,2,361,12,813,100.5,100.5,0.7,204,194
452,2,361,12,814,100.5,100.5,0.7,199,208
453,2,362,12,813,100.5,100.5,0.7,199,204
454,2,362,12,812,100.5,100.5,0.7,208,218
455,2,361,12,810,100.5,100.5,0.7,204,208
456,2,361,12,809,100.5,100.5,0.7,204,208
457,2,362,12,814,100.5,100.5,0.7,208,204
458,2,362,12,811,100.5,100.5,0.7,208,199
459,2,361,12,814,100.5,100.5,0.7,208,213
460,2,362,12,811,100.5,100.5,0.7,208,208
461,2,362,12,810,100.5,100.5,0.7,199,194
462,2,362,12,810,100.5,100.5,0.7,204,208
463,2,361,12,811,100.5,100.5,0.7,204,194
464,2,362,12,811,100.5,100.5,0.6,204,208
465,2,362,12,814,100.5,100.5,0.7,204,208
466,2,361,12,810,100.5,100.5,0.7,204,204
467,2,362,12,814,100.5,100.5,0.7,204,204
468,2,362,12,814,100.5,100.5,0.7,213,208
469,2,362,12,812,100.5,100.5,0.7,199,194
470,2,362,12,811,100.5,100.5,0.7,199,194
471,2,361,12,810,100.5,100.5,0.7,204,204
472,2,362,12,813,100.5,100.5,0.7,204,199
