"12/22/2021 21:06","3512B Port (4TN00220)","(Total Samples = 2000 - Sample Rate = 120 Per Minute)"
"Unit Descriptions","kPa","%","kPa","RPM","RPM","Deg C","Deg C"
"Sample #","Boost Pressure","Throttle Position","Fuel Pressure","Desired Engine Speed","Engine Speed","Right Exhaust Temperature","Left Exhaust Temperature"
1,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2,No Data,No Data,No Data,No Data,No Data,No Data,No Data
3,No Data,No Data,No Data,No Data,No Data,No Data,No Data
459,6,34,400,1094,1090,257,271
460,6,34,400,1095,1094,266,271
461,4,34,400,1096,1095,271,266
462,6,34,400,1095,1101,257,276
463,4,34,400,1095,1096,247,266
464,6,34,400,1096,1099,252,285
465,4,34,401,1096,1093,266,276
466,4,34,400,1095,1093,247,280
467,6,34,401,1096,1095,252,262
468,4,34,401,1096,1090,266,271
469,6,34,401,1096,1095,257,280
470,6,34,400,1096,1093,252,285
471,4,34,401,1096,1095,242,276
472,6,34,401,1096,1100,262,280
473,4,34,401,1096,1097,266,280
474,6,34,400,1095,1096,257,266
475,4,34,400,1096,1093,247,276
476,6,34,401,1096,1097,262,280
477,6,34,401,1094,1097,262,266
478,6,34,401,1096,1093,266,285
479,6,34,401,1096,1098,266,276
480,8,34,401,1096,1097,266,276
481,8,34,401,1096,1099,266,285
482,8,34,401,1094,1097,257,285
483,6,34,401,1095,1097,247,266
484,4,34,401,1095,1093,247,262
485,8,34,400,1096,1094,262,271
486,8,34,401,1096,1094,257,285
487,4,34,401,1094,1101,257,285
488,4,34,400,1097,1098,242,276
489,4,34,401,1096,1097,257,262
490,8,34,400,1096,1096,262,266
491,8,34,400,1095,1099,252,266
492,6,34,400,1095,1094,266,271
493,4,34,400,1096,1095,266,266
494,4,34,400,1096,1094,257,285
495,6,34,401,1095,1094,262,280
496,4,34,401,1094,1094,257,280
497,6,34,401,1095,1102,252,285
498,6,34,400,1094,1096,252,271
499,4,34,401,1095,1095,262,285
500,4,34,400,1096,1090,262,266
501,6,34,401,1096,1091,247,271
502,8,34,400,1095,1088,247,271
503,4,34,400,1096,1091,252,285
504,6,34,400,1096,1085,252,285
505,8,34,400,1096,1099,252,266
506,6,34,400,1095,1100,242,262
507,4,34,400,1094,1096,247,266
508,6,34,401,1096,1103,257,276
509,4,34,400,1095,1099,247,271
510,4,34,400,1096,1091,252,276
511,8,34,400,1096,1092,266,280
512,4,34,400,1095,1098,247,266
513,6,34,400,1096,1096,237,280
514,6,34,400,1096,1088,252,262
515,8,34,400,1096,1097,252,271
516,6,34,400,1096,1097,247,276
517,4,34,400,1095,1089,247,266
518,4,34,401,1096,1095,242,262
519,4,34,401,1095,1104,262,280
520,8,34,401,1096,1095,262,280
521,6,34,401,1095,1103,242,266
522,6,34,401,1096,1104,242,276
523,4,34,401,1096,1100,242,266
524,8,34,401,1094,1100,252,266
525,6,34,401,1096,1100,242,280
526,4,34,401,1096,1090,262,280
527,6,34,401,1096,1094,257,276
528,6,34,401,1096,1096,266,285
529,4,34,401,1096,1096,252,285
530,8,34,401,1096,1091,262,262
531,4,34,401,1095,1098,257,266
532,6,34,401,1096,1091,252,266
533,4,34,401,1095,1095,257,266
534,6,34,401,1096,1099,262,271
535,6,34,401,1096,1101,247,262
536,4,34,400,1095,1088,242,280
537,4,34,401,1095,1095,252,276
538,4,34,400,1095,1096,257,276
539,4,34,400,1096,1090,252,266
540,4,34,401,1096,1095,242,266
541,4,34,400,1096,1094,242,280
542,6,34,400,1096,1090,252,280
543,6,34,400,1096,1091,252,280
544,4,34,400,1096,1095,262,276
545,6,34,401,1096,1101,257,276
546,4,34,400,1096,1094,266,262
547,6,34,401,1095,1097,252,280
548,4,34,400,1095,1091,242,285
549,8,34,401,1095,1094,242,262
550,6,34,401,1096,1100,262,276
551,4,34,400,1095,1093,257,262
552,4,34,400,1095,1099,257,271
553,4,34,400,1096,1101,262,285
554,6,34,401,1095,1098,252,285
555,6,34,401,1095,1102,252,262
556,4,34,401,1095,1100,257,262
557,4,34,400,1096,1094,247,280
558,4,34,401,1094,1092,242,271
559,8,34,401,1095,1090,242,266
560,6,34,400,1095,1091,257,285
561,6,34,399,1096,1078,237,276
562,4,34,399,1096,1082,252,266
563,6,34,398,1095,1090,247,280
564,6,34,398,1096,1084,257,266
565,4,34,398,1095,1086,237,271
566,8,34,398,1094,1086,252,271
567,6,34,398,1096,1092,247,266
568,6,34,398,1096,1088,252,280
569,8,34,398,1096,1094,257,280
570,8,34,398,1096,1100,271,266
571,6,34,399,1096,1102,262,276
572,6,34,399,1095,1097,257,276
573,6,34,399,1096,1100,257,271
574,6,34,399,1095,1100,276,290
575,6,34,399,1096,1095,271,285
576,6,34,400,1095,1100,262,285
577,8,34,400,1095,1104,266,299
578,6,34,399,1096,1094,276,285
579,8,34,400,1096,1098,257,299
580,4,34,399,1095,1100,271,290
581,8,34,399,1094,1095,276,271
582,8,34,399,1095,1093,271,276
583,6,34,400,1096,1100,257,290
584,6,34,400,1096,1092,266,285
585,10,34,400,1096,1100,266,280
586,6,34,400,1096,1102,276,285
587,8,34,400,1096,1094,276,271
588,8,34,400,1096,1093,262,290
589,8,34,400,1095,1101,266,285
590,6,34,400,1095,1095,257,280
591,10,34,400,1096,1099,280,285
592,6,34,400,1096,1102,280,280
593,6,34,400,1097,1104,266,271
594,6,34,401,1095,1099,276,280
595,6,34,401,1096,1100,276,290
596,4,34,400,1095,1091,276,271
597,8,34,401,1094,1092,285,276
598,8,34,401,1096,1095,262,276
599,6,34,400,1096,1090,271,271
600,6,34,400,1096,1100,262,280
601,8,34,400,1096,1100,285,276
602,6,34,400,1096,1095,262,280
603,8,34,400,1096,1103,271,285
604,6,34,400,1096,1098,262,285
605,6,34,400,1096,1094,257,299
606,4,34,401,1095,1092,257,290
607,8,34,401,1096,1091,271,290
608,8,34,400,1096,1094,271,276
609,6,34,400,1096,1098,276,276
610,6,34,400,1096,1100,257,290
611,8,34,400,1096,1099,262,285
612,8,34,399,1096,1093,271,290
613,6,34,400,1096,1094,266,299
614,6,34,400,1096,1102,262,280
615,6,34,400,1095,1092,266,290
616,8,34,400,1095,1093,257,299
617,6,34,400,1096,1097,276,276
618,8,34,400,1096,1089,276,285
619,6,34,399,1094,1088,271,299
620,8,34,399,1095,1092,262,285
621,6,34,399,1096,1097,262,280
