"12/22/2021 19:36","3512B Port (4TN00220)","(Total Samples = 2000 - Sample Rate = 120 Per Minute)"
"Unit Descriptions","Deg C","kPa","Deg C","Deg C","Deg C","kPa","kPa"
"Sample #","Engine Coolant Temperature","Peak Air Filter Restriction","Aftercooler Temperature","Right Exhaust Temperature","Left Exhaust Temperature","Right Air Filter Restriction","Left Air Filter Restriction"
1,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2,No Data,No Data,No Data,No Data,No Data,No Data,No Data
3,No Data,No Data,No Data,No Data,No Data,No Data,No Data
4,No Data,No Data,No Data,No Data,No Data,No Data,No Data
202,78,2.5,32,363,359,0.4,0.5
203,78,2.5,32,349,373,0.3,0.5
204,78,2.5,32,354,359,0.3,0.6
205,78,2.5,32,359,359,0.3,0.5
206,78,2.5,32,368,363,0.3,0.6
207,78,2.5,32,363,368,0.3,0.6
208,78,2.5,32,368,359,0.3,0.5
209,78,2.5,32,363,363,0.3,0.5
210,78,2.5,32,349,354,0.4,0.5
211,78,2.5,32,349,359,0.3,0.5
212,78,2.5,32,349,377,0.3,0.5
213,78,2.5,32,354,363,0.4,0.5
214,78,2.5,32,368,354,0.4,0.6
215,78,2.5,32,359,363,0.4,0.5
216,78,2.5,32,345,363,0.4,0.5
217,78,2.5,32,363,354,0.3,0.6
218,78,2.5,32,354,368,0.3,0.6
219,78,2.5,32,368,368,0.3,0.5
220,78,2.5,32,354,373,0.4,0.6
221,78,2.5,32,363,373,0.4,0.5
222,78,2.5,32,363,363,0.3,0.5
223,78,2.5,32,349,373,0.3,0.6
224,78,2.5,32,349,368,0.4,0.6
225,78,2.5,32,340,349,0.4,0.6
226,78,2.5,32,345,363,0.3,0.5
227,78,2.5,32,359,373,0.4,0.5
228,78,2.5,32,359,368,0.3,0.5
229,78,2.5,32,349,377,0.3,0.5
230,78,2.5,32,359,359,0.4,0.5
231,78,2.5,32,354,354,0.3,0.6
232,78,2.5,32,354,363,0.4,0.5
233,78,2.5,32,349,354,0.4,0.5
234,78,2.5,32,359,349,0.3,0.6
235,78,2.5,32,354,363,0.4,0.6
236,78,2.5,32,354,354,0.3,0.6
237,78,2.5,32,345,354,0.3,0.5
238,78,2.5,32,340,373,0.3,0.6
239,78,2.5,32,354,363,0.3,0.5
240,78,2.5,32,359,359,0.3,0.6
241,78,2.5,32,336,368,0.4,0.5
242,78,2.5,32,345,359,0.4,0.5
243,78,2.5,32,359,368,0.3,0.5
244,78,2.5,32,354,363,0.3,0.5
245,78,2.5,32,340,363,0.3,0.5
246,78,2.5,32,336,368,0.3,0.6
247,78,2.5,32,349,368,0.4,0.6
248,78,2.5,32,349,349,0.4,0.5
249,78,2.5,32,359,359,0.3,0.5
250,78,2.5,32,349,373,0.4,0.6
251,78,2.5,32,340,359,0.4,0.6
252,78,2.5,32,345,368,0.3,0.5
253,78,2.5,32,336,373,0.3,0.5
254,78,2.5,32,336,345,0.3,0.6
255,78,2.5,32,336,373,0.3,0.6
256,78,2.5,32,349,363,0.3,0.6
257,78,2.5,32,336,359,0.3,0.5
