"12/22/2021 20:05","3512B Port (4TN00220)","(Total Samples = 2000 - Sample Rate = 120 Per Minute)"
"Unit Descriptions","kPa","kPa","%","RPM","kPa","kPa","kPa","Deg C","Deg C",""
"Sample #","Boost Pressure","Fuel Pressure","Throttle Position","Engine Speed","Right Turbo Inlet Pressure (abs)","Left Turbo Inlet Pressure (abs)","Crankcase Pressure","Right Exhaust Temperature","Left Exhaust Temperature","ECM In Control"
1,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
3,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
4,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
183,4,395,32,1070,100.0,100.0,0.0,276,266,Primary ECM
184,6,395,32,1076,100.0,100.0,0.1,276,266,Primary ECM
185,6,395,32,1076,100.0,100.0,0.1,271,266,Primary ECM
186,4,395,32,1065,100.0,100.0,0.0,271,271,Primary ECM
187,6,395,32,1066,100.0,100.0,0.1,257,285,Primary ECM
188,4,395,32,1064,100.0,100.0,0.0,257,285,Primary ECM
189,4,395,32,1064,100.0,100.0,0.0,271,285,Primary ECM
190,4,395,32,1059,100.0,100.0,0.0,257,285,Primary ECM
191,4,395,32,1065,100.0,100.0,0.1,257,271,Primary ECM
192,6,395,32,1062,100.0,100.0,0.1,276,271,Primary ECM
193,6,395,32,1062,100.0,100.0,0.1,276,271,Primary ECM
194,4,395,32,1063,100.0,100.0,0.0,257,280,Primary ECM
195,2,395,32,1064,100.0,100.0,0.1,257,280,Primary ECM
196,2,395,32,1059,100.0,100.0,0.0,247,276,Primary ECM
197,2,395,32,1059,100.0,100.0,0.0,252,276,Primary ECM
198,4,395,32,1057,100.0,100.0,0.0,252,280,Primary ECM
199,4,395,32,1056,100.0,100.0,0.1,252,280,Primary ECM
200,4,395,32,1058,100.0,100.0,0.0,252,262,Primary ECM
201,2,395,32,1064,100.0,100.0,0.1,247,276,Primary ECM
202,4,395,32,1065,100.0,100.0,0.1,247,276,Primary ECM
203,4,395,32,1059,100.0,100.0,0.1,257,266,Primary ECM
204,4,395,32,1059,100.0,100.0,0.1,252,266,Primary ECM
205,4,395,32,1064,100.0,100.0,0.0,252,271,Primary ECM
206,6,394,32,1066,100.0,100.0,0.1,266,271,Primary ECM
207,4,394,32,1062,100.0,100.0,0.0,266,276,Primary ECM
208,4,394,32,1058,100.0,100.0,0.1,242,266,Primary ECM
209,4,395,32,1060,100.0,100.0,0.0,242,266,Primary ECM
210,6,395,32,1070,100.0,100.0,0.1,266,276,Primary ECM
211,4,395,32,1060,100.0,100.0,0.0,242,276,Primary ECM
212,2,395,32,1060,100.0,100.0,0.1,242,271,Primary ECM
213,2,395,32,1060,100.0,100.0,0.1,266,271,Primary ECM
214,6,395,32,1060,100.0,100.0,0.1,266,262,Primary ECM
215,4,396,32,1066,100.0,100.0,0.1,252,276,Primary ECM
216,4,395,32,1065,100.0,100.0,0.1,252,276,Primary ECM
217,4,395,32,1065,100.0,100.0,0.1,257,262,Primary ECM
218,4,395,32,1059,100.0,100.0,0.1,247,262,Primary ECM
219,6,395,32,1060,100.0,100.0,0.1,247,257,Primary ECM
220,2,395,32,1070,100.0,100.0,0.1,252,257,Primary ECM
221,6,395,32,1060,100.0,100.0,0.1,252,276,Primary ECM
222,4,395,32,1060,100.0,100.0,0.0,262,266,Primary ECM
223,4,395,32,1065,100.0,100.0,0.1,262,266,Primary ECM
224,4,396,32,1068,100.0,100.0,0.0,247,257,Primary ECM
225,4,395,32,1054,100.0,100.0,0.1,257,257,Primary ECM
226,4,394,32,1052,100.0,100.0,0.0,257,271,Primary ECM
227,4,394,32,1059,100.0,100.0,0.0,247,271,Primary ECM
228,4,395,32,1066,100.0,100.0,0.1,247,252,Primary ECM
229,4,395,32,1065,100.0,100.0,0.1,262,271,Primary ECM
230,4,395,32,1063,100.0,100.0,0.1,262,271,Primary ECM
231,4,394,32,1058,100.0,100.0,0.1,262,257,Primary ECM
232,6,395,32,1063,100.0,100.0,0.0,266,257,Primary ECM
233,6,395,32,1063,100.0,100.0,0.0,266,257,Primary ECM
234,2,395,32,1059,100.0,100.0,0.1,252,257,Primary ECM
235,4,394,32,1058,100.0,100.0,0.1,252,276,Primary ECM
236,6,395,32,1066,100.0,100.0,0.0,247,271,Primary ECM
237,6,395,32,1066,100.0,100.0,0.0,247,271,Primary ECM
238,4,394,32,1063,100.0,100.0,0.1,257,271,Primary ECM
239,2,394,32,1062,100.0,100.0,0.1,257,271,Primary ECM
240,2,395,32,1070,100.0,100.0,0.1,257,257,Primary ECM
241,2,395,32,1070,100.0,100.0,0.1,242,266,Primary ECM
242,6,395,32,1061,100.0,100.0,0.1,242,266,Primary ECM
243,2,395,32,1071,100.0,100.0,0.1,247,257,Primary ECM
244,6,395,32,1072,100.0,100.0,0.1,247,257,Primary ECM
245,4,395,32,1067,100.0,100.0,0.1,262,257,Primary ECM
246,4,395,32,1063,100.0,100.0,0.1,266,257,Primary ECM
247,4,396,32,1070,100.0,100.0,0.0,266,266,Primary ECM
